year,month,crop,state,season,rainfall_mm,temperature_c,demand_index,inflation_rate,price_per_quintal
2019,1,Wheat,Punjab,Rabi,171.5,19.1,0.854,0.0,2086.3
2019,1,Wheat,Haryana,Rabi,130.5,18.7,0.868,0.0,2373.81
2019,1,Wheat,UP,Rabi,144.7,13.8,0.891,0.0,2095.98
2019,1,Wheat,Maharashtra,Rabi,119.6,18.2,0.878,0.0,2134.07
2019,1,Wheat,Karnataka,Rabi,169.2,17.1,0.87,0.0,2160.61
2019,1,Wheat,Andhra Pradesh,Rabi,129.0,17.8,0.906,0.0,2212.84
2019,1,Wheat,Madhya Pradesh,Rabi,127.9,17.0,0.913,0.0,2091.43
2019,1,Wheat,Rajasthan,Rabi,139.6,15.5,0.855,0.0,2186.68
2019,1,Wheat,Gujarat,Rabi,156.3,15.1,0.88,0.0,2352.41
2019,1,Wheat,Bihar,Rabi,113.3,18.0,0.939,0.0,2214.91
2019,1,Wheat,West Bengal,Rabi,154.6,17.9,0.86,0.0,2305.01
2019,1,Wheat,Tamil Nadu,Rabi,137.6,17.0,0.887,0.0,2100.42
2019,1,Rice,Punjab,Kharif,162.6,11.4,1.036,0.0,2050.74
2019,1,Rice,Haryana,Kharif,146.8,8.4,0.974,0.0,2270.18
2019,1,Rice,UP,Kharif,120.8,11.8,0.969,0.0,2302.15
2019,1,Rice,Maharashtra,Kharif,174.5,7.8,1.027,0.0,2109.94
2019,1,Rice,Karnataka,Kharif,130.2,9.5,1.034,0.0,2310.54
2019,1,Rice,Andhra Pradesh,Kharif,180.9,10.3,1.012,0.0,2266.53
2019,1,Rice,Madhya Pradesh,Kharif,143.0,9.5,0.973,0.0,2183.66
2019,1,Rice,Rajasthan,Kharif,122.6,11.7,1.014,0.0,2012.63
2019,1,Rice,Gujarat,Kharif,140.3,6.6,1.039,0.0,2317.63
2019,1,Rice,Bihar,Kharif,146.7,8.8,0.978,0.0,2081.33
2019,1,Rice,West Bengal,Kharif,161.0,11.9,1.05,0.0,2325.33
2019,1,Rice,Tamil Nadu,Kharif,178.4,10.0,1.053,0.0,2281.46
2019,1,Maize,Punjab,Kharif,92.0,13.0,1.086,0.0,2475.57
2019,1,Maize,Haryana,Kharif,85.1,11.8,1.144,0.0,2236.42
2019,1,Maize,UP,Kharif,129.6,13.8,1.08,0.0,2274.28
2019,1,Maize,Maharashtra,Kharif,53.5,13.4,1.072,0.0,2517.16
2019,1,Maize,Karnataka,Kharif,93.1,18.4,1.046,0.0,2167.06
2019,1,Maize,Andhra Pradesh,Kharif,88.1,14.0,1.057,0.0,2257.6
2019,1,Maize,Madhya Pradesh,Kharif,114.8,14.9,1.067,0.0,2336.54
2019,1,Maize,Rajasthan,Kharif,120.0,10.6,1.11,0.0,2425.95
2019,1,Maize,Gujarat,Kharif,72.1,12.3,1.045,0.0,2353.88
2019,1,Maize,Bihar,Kharif,60.9,13.6,1.111,0.0,2374.52
2019,1,Maize,West Bengal,Kharif,73.5,16.5,1.143,0.0,2218.54
