,Date,State,City,Crop Type,Season,Temperature (°C),Rainfall (mm),Supply Volume (tons),Demand Volume (tons),Transportation Cost (₹/ton),Fertilizer Usage (kg/hectare),Pest Infestation (0-1),Market Competition (0-1),Price (₹/ton)
0,2023-01,Maharashtra,Mumbai,Wheat,Kharif,37.1,204.5,3583.93,1345.6,302.65,219.62,0.12,0.72,14.33
1,2023-02,Maharashtra,Mumbai,Wheat,Kharif,21.2,57.8,2944.07,1698.04,393.07,263.0,0.38,0.05,41.34
2,2023-03,Maharashtra,Mumbai,Wheat,Kharif,36.3,129.4,3956.04,2209.66,350.68,96.37,0.87,0.33,29.03
3,2023-04,Maharashtra,Mumbai,Wheat,Kharif,19.5,24.3,1651.5,576.15,274.45,192.04,0.51,0.28,14.45
4,2023-05,Maharashtra,Mumbai,Wheat,Kharif,36.6,218.2,2173.52,1185.9,382.61,136.45,0.86,0.17,20.01
5,2023-06,Maharashtra,Mumbai,Wheat,Kharif,32.6,65.9,2429.88,642.51,222.21,210.37,0.93,0.47,25.17
6,2023-07,Maharashtra,Mumbai,Wheat,Kharif,35.5,127.1,988.3,3509.65,483.6,52.19,0.23,0.43,187.89
7,2023-08,Maharashtra,Mumbai,Wheat,Kharif,29.4,6.0,2906.19,4074.91,447.23,60.42,0.02,0.56,139.85
8,2023-09,Maharashtra,Mumbai,Wheat,Kharif,24.7,125.5,1787.46,3100.78,70.42,299.72,0.42,0.77,254.15
9,2023-10,Maharashtra,Mumbai,Wheat,Kharif,30.4,201.8,4918.49,3100.1,160.06,174.75,0.89,0.46,54.52
10,2023-11,Maharashtra,Mumbai,Wheat,Kharif,16.3,23.1,2187.7,3220.39,62.82,156.92,0.49,0.38,211.97
11,2023-12,Maharashtra,Mumbai,Wheat,Kharif,25.7,244.5,949.3,1674.39,238.81,274.18,0.69,0.84,155.89
12,2024-01,Maharashtra,Mumbai,Wheat,Kharif,16.1,196.6,3067.11,2753.53,320.12,138.21,0.07,0.84,106.84
13,2024-02,Maharashtra,Mumbai,Wheat,Kharif,19.1,271.8,2785.27,900.09,175.78,96.56,0.68,0.16,3.59
14,2024-03,Maharashtra,Mumbai,Wheat,Kharif,19.2,210.6,1044.93,1325.8,321.21,265.88,0.67,0.38,74.7
15,2024-04,Maharashtra,Mumbai,Wheat,Kharif,17.4,49.7,1309.01,2487.15,189.49,85.31,0.05,0.94,206.25
16,2024-05,Maharashtra,Mumbai,Wheat,Kharif,36.9,151.9,1545.84,1280.05,496.63,229.09,0.78,0.84,12.29
17,2024-06,Maharashtra,Mumbai,Wheat,Kharif,37.3,67.3,3523.33,3888.09,334.06,260.54,0.74,0.85,137.67
18,2024-07,Maharashtra,Mumbai,Wheat,Kharif,16.9,146.3,1213.51,3172.36,372.23,225.56,0.96,0.93,195.03
19,2024-08,Maharashtra,Mumbai,Wheat,Kharif,24.1,233.2,2643.05,4360.4,383.8,51.5,0.27,0.51,206.18
20,2024-09,Maharashtra,Mumbai,Wheat,Kharif,20.7,269.1,4984.19,1329.6,398.78,125.08,0.61,0.53,130.42
21,2024-10,Maharashtra,Mumbai,Wheat,Kharif,32.4,226.2,1690.52,3664.2,465.99,167.99,0.85,0.86,187.27
22,2024-11,Maharashtra,Mumbai,Wheat,Kharif,16.9,55.4,3988.06,3262.97,225.69,105.82,0.12,0.2,77.82
23,2024-12,Maharashtra,Mumbai,Wheat,Kharif,24.9,83.7,1018.31,4337.56,439.31,226.2,0.73,0.4,239.67
24,2023-01,Maharashtra,Mumbai,Wheat,Rabi,25.6,145.5,2534.5,1279.29,430.81,186.46,0.41,0.73,18.45
25,2023-02,Maharashtra,Mumbai,Wheat,Rabi,36.7,104.8,3615.21,3658.65,264.83,211.81,0.41,0.35,123.02
26,2023-03,Maharashtra,Mumbai,Wheat,Rabi,29.6,57.5,4381.52,2949.37,94.93,82.89,0.4,0.79,102.07
27,2023-04,Maharashtra,Mumbai,Wheat,Rabi,35.9,95.1,1715.67,796.63,219.18,215.26,0.98,0.75,38.82
28,2023-05,Maharashtra,Mumbai,Wheat,Rabi,35.5,100.0,2717.12,3340.02,322.78,213.52,0.52,0.6,137.81
29,2023-06,Maharashtra,Mumbai,Wheat,Rabi,17.1,104.0,3180.47,2927.57,56.15,75.2,0.1,0.79,180.38
30,2023-07,Maharashtra,Mumbai,Wheat,Rabi,33.5,7.1,1835.54,1021.72,260.35,85.82,0.17,0.8,45.65
31,2023-08,Maharashtra,Mumbai,Wheat,Rabi,38.4,47.1,2198.84,2952.83,66.29,283.86,0.25,0.3,199.26
